Ranking,Song,Album,Genre
1,Style,Nineteen Eighty-Nine,Pop
2,You Belong with Me,Fearless (TV),Country Pop
3,Cruel Summer,Lover,Pop
4,Story of Us,Speak Now (TV),Country Pop
5,Holy Ground,Red (TV),Country Pop
6,Hits Different,Midnights,Pop
7,Fearless,Fearless (TV),Country Pop
8,All Too Well (10 min),Red (TV),Country Pop
9,Our Song,Debut,Country Pop
10,Karma,Midnights,Pop
11,Invisible String,Folklore,Folk
12,Ivy,Evermore,Folk
13,Red,Red (TV),Country Pop
14,Blank Space,Nineteen Eighty-Nine,Pop
15,The Way I Loved You,Fearless (TV),Country Pop
16,Paper Rings,Lover,Pop
17,Out of the Woods,Nineteen Eighty-Nine,Pop
18,Would've Could've Should've,Midnights,Pop
19,Anti-Hero,Midnights,Pop
20,Look What You Made Me Do,Reputation,Pop
